turn, fish, shark
0, 500, 500
0, 500, 500
1, 789, 530
2, 1370, 512
3, 2480, 515
4, 4499, 519
5, 7430, 532
6, 10280, 558
7, 12187, 584
8, 13098, 609
9, 13460, 624
10, 13566, 655
11, 13578, 684
12, 13565, 717
13, 13528, 747
14, 13492, 774
15, 13481, 798
16, 13438, 850
17, 13390, 893
18, 13313, 949
19, 13260, 994
20, 13176, 1043
21, 13130, 1107
22, 13056, 1166
23, 12994, 1218
24, 12901, 1248
25, 12849, 1310
26, 12798, 1368
27, 12720, 1434
28, 12619, 1494
29, 12560, 1548
30, 12492, 1596
31, 12352, 1700
32, 12239, 1786
33, 12123, 1898
34, 11964, 1988
35, 11809, 2086
36, 11652, 2214
37, 11480, 2332
38, 11246, 2436
39, 11045, 2496
40, 10840, 2620
41, 10595, 2736
42, 10370, 2867
43, 10112, 2987
44, 9874, 3094
45, 9682, 3189
46, 9404, 3396
47, 9043, 3561
48, 8636, 3779
49, 8164, 3945
50, 7730, 4131
51, 7284, 4368
52, 6765, 4575
53, 6230, 4758
54, 5760, 4845
55, 5371, 5036
56, 4900, 5186
57, 4471, 5347
58, 4088, 5468
59, 3754, 5485
60, 3399, 5452
61, 3054, 5533
62, 2729, 5507
63, 2329, 5536
64, 1983, 5427
65, 1698, 5328
66, 1490, 5246
67, 1271, 5051
68, 1112, 4914
69, 1020, 4672
70, 909, 4525
71, 803, 4234
72, 677, 3964
73, 609, 3611
74, 526, 3299
75, 436, 2951
76, 365, 2620
77, 315, 2377
78, 279, 2135
79, 234, 1982
80, 206, 1779
81, 195, 1606
82, 188, 1413
83, 205, 1257
84, 234, 1108
85, 274, 971
86, 318, 860
87, 375, 773
88, 446, 699
89, 532, 640
90, 655, 575
91, 790, 505
92, 971, 472
93, 1156, 473
94, 1373, 444
95, 1623, 425
96, 1917, 414
97, 2259, 389
98, 2668, 374
99, 3098, 351
100, 3549, 346
101, 4036, 355
102, 4536, 362
103, 5054, 364
104, 5536, 378
105, 5989, 389
106, 6481, 403
107, 6932, 437
108, 7310, 489
109, 7659, 494
110, 8016, 501
111, 8368, 532
112, 8701, 549
113, 9063, 564
114, 9399, 563
115, 9733, 566
116, 10068, 605
117, 10379, 620
118, 10687, 635
119, 10983, 654
120, 11286, 669
121, 11588, 691
122, 11853, 743
123, 12103, 825
124, 12266, 820
125, 12408, 826
126, 12478, 870
127, 12513, 883
128, 12563, 891
129, 12586, 877
130, 12619, 869
131, 12620, 915
132, 12608, 902
133, 12618, 913
134, 12589, 921
135, 12559, 940
136, 12526, 960
137, 12459, 1018
138, 12332, 1130
139, 12250, 1114
140, 12200, 1120
141, 12104, 1172
142, 12073, 1194
143, 12019, 1204
144, 11978, 1183
145, 11961, 1182
146, 11920, 1232
147, 11853, 1206
148, 11844, 1202
149, 11806, 1225
150, 11747, 1252
151, 11641, 1266
152, 11584, 1323
153, 11455, 1459
154, 11311, 1448
155, 11231, 1446
156, 11182, 1512
157, 11127, 1533
158, 11084, 1526
159, 11009, 1498
160, 10973, 1468
161, 10920, 1514
162, 10877, 1463
163, 10788, 1441
164, 10701, 1461
165, 10629, 1452
166, 10608, 1475
167, 10509, 1531
168, 10388, 1694
169, 10290, 1677
170, 10195, 1668
171, 10111, 1734
172, 10044, 1754
173, 9992, 1738
174, 9915, 1706
175, 9854, 1654
176, 9781, 1707
177, 9676, 1654
178, 9628, 1608
179, 9572, 1626
180, 9522, 1603
181, 9463, 1603
182, 9372, 1660
183, 9241, 1857
184, 9116, 1829
185, 9068, 1822
186, 9037, 1835
187, 8968, 1815
188, 8971, 1799
189, 8962, 1782
190, 8969, 1739
191, 8957, 1780
192, 8975, 1737
193, 8998, 1675
194, 9016, 1704
195, 9022, 1678
196, 9058, 1693
197, 9041, 1776
198, 8970, 1999
199, 8892, 1966
200, 8889, 1973
201, 8844, 2012
202, 8831, 2021
203, 8786, 2009
204, 8760, 2018
205, 8736, 1981
206, 8730, 2068
207, 8690, 2039
208, 8692, 1977
209, 8700, 1999
210, 8706, 1988
211, 8723, 1982
212, 8692, 2103
213, 8592, 2344
214, 8511, 2297
215, 8505, 2292
216, 8523, 2327
217, 8541, 2326
218, 8569, 2305
219, 8638, 2319
220, 8710, 2294
221, 8748, 2422
222, 8762, 2349
223, 8828, 2266
224, 8828, 2296
225, 8839, 2288
226, 8820, 2335
227, 8744, 2493
228, 8610, 2740
229, 8452, 2690
230, 8368, 2685
231, 8272, 2733
232, 8152, 2729
233, 8053, 2692
234, 7986, 2702
235, 7925, 2623
236, 7853, 2757
237, 7766, 2683
238, 7668, 2601
239, 7609, 2606
240, 7582, 2553
241, 7552, 2609
242, 7415, 2743
243, 7216, 3001
244, 7024, 2895
245, 6914, 2892
246, 6768, 2922
247, 6701, 2904
248, 6663, 2877
249, 6595, 2876
250, 6577, 2802
251, 6533, 2926
252, 6464, 2848
253, 6410, 2762
254, 6343, 2769
255, 6290, 2687
256, 6288, 2709
257, 6197, 2882
258, 6042, 3169
259, 5828, 3067
260, 5748, 3073
261, 5674, 3103
262, 5581, 3046
263, 5579, 2998
264, 5608, 2973
265, 5598, 2876
266, 5565, 3003
267, 5555, 2911
268, 5556, 2803
269, 5560, 2777
270, 5624, 2665
271, 5775, 2667
272, 5837, 2850
273, 5752, 3194
274, 5658, 3089
275, 5721, 3118
276, 5811, 3126
277, 5870, 3029
278, 6009, 2977
279, 6153, 2943
280, 6306, 2889
281, 6409, 3068
282, 6435, 2953
283, 6508, 2862
284, 6575, 2880
285, 6749, 2780
286, 6816, 2829
287, 6831, 3079
288, 6740, 3485
289, 6592, 3412
290, 6578, 3477
291, 6567, 3570
292, 6513, 3576
293, 6476, 3584
294, 6445, 3579
295, 6447, 3527
296, 6412, 3799
297, 6251, 3701
298, 6158, 3565
299, 6046, 3586
300, 5916, 3470
301, 5764, 3556
302, 5569, 3868
303, 5224, 4206
304, 4938, 4095
305, 4696, 4133
306, 4495, 4162
307, 4261, 4112
308, 4122, 4017
309, 4018, 3988
310, 3864, 3873
311, 3737, 3981
312, 3582, 3728
313, 3491, 3499
314, 3350, 3416
315, 3249, 3200
316, 3225, 3129
317, 3153, 3290
318, 3019, 3468
319, 2875, 3313
320, 2821, 3282
321, 2733, 3205
322, 2657, 3142
323, 2628, 3029
324, 2655, 2999
325, 2722, 2902
326, 2789, 2946
327, 2869, 2724
328, 2983, 2562
329, 3134, 2498
330, 3333, 2363
331, 3552, 2267
332, 3772, 2367
333, 3917, 2523
334, 4030, 2363
335, 4225, 2344
336, 4427, 2335
337, 4642, 2269
338, 4882, 2218
339, 5101, 2229
340, 5323, 2170
341, 5586, 2272
342, 5787, 2121
343, 6057, 2082
344, 6322, 2072
345, 6651, 2011
346, 7007, 1997
347, 7268, 2088
348, 7413, 2393
349, 7561, 2318
350, 7749, 2319
351, 7942, 2386
352, 8082, 2370
353, 8294, 2361
354, 8514, 2409
355, 8714, 2374
356, 8799, 2549
357, 8842, 2489
358, 8879, 2468
359, 8898, 2459
360, 8919, 2406
361, 8918, 2479
362, 8851, 2661
363, 8682, 3025
364, 8449, 2976
365, 8317, 2990
366, 8174, 3106
367, 8013, 3090
368, 7880, 3053
369, 7790, 3117
370, 7688, 3050
371, 7504, 3236
372, 7340, 3132
373, 7248, 3076
374, 7116, 3067
375, 7016, 2978
376, 6886, 2955
377, 6668, 3134
378, 6407, 3523
379, 6137, 3381
380, 5974, 3389
381, 5809, 3409
382, 5663, 3366
383, 5570, 3295
384, 5472, 3304
385, 5394, 3210
386, 5277, 3400
387, 5163, 3238
388, 5056, 3036
389, 4924, 2991
390, 4874, 2868
391, 4806, 2872
392, 4719, 3059
393, 4518, 3293
394, 4329, 3139
395, 4256, 3136
396, 4146, 3124
397, 4049, 3093
398, 3986, 2975
399, 3998, 2934
400, 4004, 2838
401, 4001, 2976
402, 4003, 2788
403, 4039, 2613
404, 4054, 2562
405, 4111, 2454
406, 4166, 2521
407, 4146, 2695
408, 4061, 2855
409, 4022, 2732
410, 4075, 2731
411, 4105, 2797
412, 4046, 2758
413, 4059, 2673
414, 4104, 2649
415, 4166, 2574
416, 4228, 2713
417, 4257, 2577
418, 4310, 2486
419, 4360, 2468
420, 4440, 2396
421, 4558, 2461
422, 4607, 2651
423, 4570, 2786
424, 4540, 2700
425, 4545, 2716
426, 4536, 2834
427, 4524, 2804
428, 4612, 2720
429, 4701, 2695
430, 4800, 2606
431, 4900, 2704
432, 4966, 2594
433, 5021, 2561
434, 5083, 2529
435, 5186, 2446
436, 5369, 2329
437, 5507, 2474
438, 5537, 2598
439, 5612, 2517
440, 5787, 2510
441, 5959, 2554
442, 6099, 2507
443, 6288, 2400
444, 6517, 2371
445, 6813, 2296
446, 7097, 2448
447, 7339, 2338
448, 7617, 2305
449, 7848, 2299
450, 7951, 2238
451, 8040, 2214
452, 8064, 2383
453, 8041, 2524
454, 8016, 2458
455, 7995, 2496
456, 7953, 2581
457, 7861, 2541
458, 7837, 2455
459, 7806, 2469
460, 7786, 2384
461, 7718, 2588
462, 7618, 2475
463, 7559, 2472
464, 7517, 2487
465, 7467, 2433
466, 7457, 2448
467, 7444, 2607
468, 7315, 2788
469, 7193, 2730
470, 7176, 2802
471, 7106, 2880
472, 6986, 2830
473, 6947, 2732
474, 6957, 2794
475, 6952, 2715
476, 6909, 2954
477, 6804, 2879
478, 6765, 2889
479, 6794, 2885
480, 6808, 2825
481, 6853, 2872
482, 6837, 3035
483, 6716, 3252
484, 6610, 3146
485, 6560, 3202
486, 6531, 3264
487, 6413, 3204
488, 6359, 3084
489, 6369, 3127
490, 6371, 3042
491, 6333, 3245
492, 6231, 3143
493, 6142, 3101
494, 6045, 3068
495, 5958, 2971
496, 5891, 2971
497, 5779, 3159
498, 5624, 3409
499, 5463, 3280
500, 5355, 3321
501, 5196, 3386
502, 5041, 3331
503, 4942, 3167
504, 4933, 3196
505, 4905, 3086
506, 4833, 3299
507, 4680, 3173
508, 4566, 3030
509, 4487, 2985
510, 4514, 2861
511, 4531, 2792
512, 4504, 2921
513, 4438, 3103
514, 4374, 2947
515, 4390, 2979
516, 4428, 2942
517, 4426, 2842
518, 4481, 2700
519, 4586, 2659
520, 4714, 2560
521, 4767, 2730
522, 4773, 2556
523, 4842, 2485
524, 4841, 2449
525, 4939, 2345
526, 5082, 2324
527, 5145, 2416
528, 5120, 2671
529, 5106, 2600
530, 5197, 2684
531, 5231, 2692
532, 5264, 2658
533, 5308, 2565
534, 5389, 2582
535, 5466, 2497
536, 5532, 2715
537, 5532, 2662
538, 5533, 2597
539, 5594, 2564
540, 5683, 2487
541, 5854, 2496
542, 5948, 2571
543, 5982, 2808
544, 5998, 2740
545, 6065, 2814
546, 6126, 2795
547, 6214, 2781
548, 6399, 2660
549, 6534, 2747
550, 6662, 2677
551, 6798, 2886
552, 6838, 2852
553, 6942, 2810
554, 6983, 2815
555, 7011, 2732
556, 6980, 2737
557, 6933, 2802
558, 6825, 3069
559, 6729, 2932
560, 6631, 3000
561, 6553, 2984
562, 6465, 2936
563, 6457, 2812
564, 6492, 2821
565, 6475, 2709
566, 6449, 2932
567, 6397, 2867
568, 6324, 2777
569, 6310, 2773
570, 6309, 2670
571, 6328, 2629
572, 6326, 2679
573, 6281, 2880
574, 6175, 2770
575, 6120, 2877
576, 6053, 2843
577, 6001, 2782
578, 6029, 2689
579, 6119, 2692
580, 6228, 2601
581, 6324, 2817
582, 6317, 2777
583, 6346, 2747
584, 6363, 2715
585, 6417, 2590
586, 6486, 2538
587, 6540, 2619
588, 6481, 2791
589, 6501, 2689
590, 6572, 2826
591, 6559, 2823
592, 6575, 2758
593, 6656, 2638
594, 6748, 2649
595, 6817, 2561
596, 6828, 2797
597, 6778, 2772
598, 6727, 2777
599, 6694, 2787
600, 6726, 2711
601, 6729, 2720
602, 6771, 2851
603, 6703, 3064
604, 6669, 2996
605, 6596, 3139
606, 6522, 3178
607, 6434, 3131
608, 6392, 3013
609, 6439, 3054
610, 6468, 2983
611, 6446, 3205
612, 6355, 3174
613, 6358, 3192
614, 6356, 3183
615, 6352, 3065
616, 6399, 3010
617, 6377, 3123
618, 6293, 3377
619, 6216, 3279
620, 6229, 3402
621, 6161, 3390
622, 6113, 3325
623, 6094, 3179
624, 6121, 3224
625, 6145, 3121
626, 6191, 3366
627, 6118, 3284
628, 6090, 3182
629, 6067, 3130
630, 6100, 2989
631, 6124, 2931
632, 6176, 2994
633, 6155, 3202
634, 6095, 3068
635, 6127, 3140
636, 6098, 3177
637, 5951, 3161
638, 5943, 3062
639, 5912, 3156
640, 5815, 3037
641, 5775, 3348
642, 5647, 3298
643, 5583, 3261
644, 5449, 3247
645, 5401, 3209
646, 5385, 3246
647, 5276, 3312
648, 5185, 3516
649, 5051, 3385
650, 4989, 3505
651, 4863, 3605
652, 4715, 3557
653, 4615, 3450
654, 4576, 3537
655, 4542, 3435
656, 4444, 3677
657, 4328, 3631
658, 4200, 3639
659, 4076, 3600
660, 4039, 3477
661, 3954, 3429
662, 3849, 3487
663, 3733, 3585
664, 3610, 3397
665, 3548, 3520
666, 3445, 3524
667, 3303, 3400
668, 3280, 3213
669, 3306, 3243
670, 3277, 3104
671, 3241, 3256
672, 3195, 3137
673, 3232, 3081
674, 3322, 3030
675, 3488, 2881
676, 3640, 2805
677, 3826, 2874
678, 3949, 2947
679, 4082, 2758
680, 4305, 2810
681, 4499, 2769
682, 4700, 2627
683, 4869, 2416
684, 5088, 2421
685, 5293, 2315
686, 5488, 2393
687, 5665, 2299
688, 5866, 2279
689, 5986, 2259
690, 6150, 2146
691, 6346, 2084
692, 6536, 2155
693, 6675, 2264
694, 6929, 2169
695, 7190, 2242
696, 7426, 2284
697, 7601, 2228
698, 7832, 2131
699, 8045, 2193
700, 8242, 2124
701, 8450, 2222
702, 8566, 2181
703, 8712, 2169
704, 8846, 2187
705, 8907, 2163
706, 9011, 2179
707, 9060, 2281
708, 9085, 2427
709, 9098, 2355
710, 9159, 2466
711, 9094, 2602
712, 9043, 2626
713, 9032, 2592
714, 9023, 2733
715, 9000, 2686
716, 8898, 2851
717, 8745, 2874
718, 8633, 2955
719, 8497, 2991
720, 8394, 2990
721, 8290, 3000
722, 8094, 3132
723, 7865, 3338
724, 7650, 3237
725, 7436, 3387
726, 7155, 3578
727, 6912, 3574
728, 6715, 3480
729, 6617, 3606
730, 6488, 3498
731, 6288, 3750
732, 6012, 3690
733, 5780, 3688
734, 5562, 3698
735, 5422, 3567
736, 5342, 3484
737, 5166, 3526
738, 4969, 3721
739, 4758, 3519
740, 4612, 3621
741, 4403, 3650
742, 4179, 3549
743, 4077, 3373
744, 3986, 3311
745, 3876, 3174
746, 3804, 3362
747, 3592, 3222
748, 3395, 3212
749, 3252, 3181
750, 3147, 3009
751, 3066, 2904
752, 2968, 2927
753, 2797, 3108
754, 2614, 2964
755, 2479, 3036
756, 2268, 3054
757, 2061, 2957
758, 1974, 2765
759, 1929, 2738
760, 1864, 2637
761, 1815, 2777
762, 1747, 2673
763, 1655, 2661
764, 1577, 2598
765, 1544, 2436
766, 1563, 2259
767, 1539, 2255
